2025-06-04 18:17:51,439 - CPU Usage: 16.0% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:51,472 - CPU Usage: 20.8% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:51,539 - CPU Usage: 27.1% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:51,591 - CPU Usage: 58.3% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:51,622 - CPU Usage: 45.8% | RAM Usage: 78.3% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:51,672 - CPU Usage: 22.9% | RAM Usage: 78.3% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:51,720 - CPU Usage: 16.7% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:51,773 - CPU Usage: 48.6% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:51,823 - CPU Usage: 63.9% | RAM Usage: 78.2% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:51,870 - CPU Usage: 45.8% | RAM Usage: 78.2% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:51,903 - CPU Usage: 16.7% | RAM Usage: 78.2% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:51,939 - CPU Usage: 29.2% | RAM Usage: 78.1% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:51,977 - CPU Usage: 44.0% | RAM Usage: 78.2% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,019 - CPU Usage: 27.8% | RAM Usage: 78.1% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,071 - CPU Usage: 79.2% | RAM Usage: 78.1% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,124 - CPU Usage: 13.9% | RAM Usage: 78.1% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,174 - CPU Usage: 63.9% | RAM Usage: 78.2% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,223 - CPU Usage: 73.7% | RAM Usage: 78.1% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,271 - CPU Usage: 33.3% | RAM Usage: 78.2% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,343 - CPU Usage: 85.2% | RAM Usage: 78.2% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,407 - CPU Usage: 68.8% | RAM Usage: 78.3% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,477 - CPU Usage: 64.6% | RAM Usage: 78.3% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,541 - CPU Usage: 56.2% | RAM Usage: 78.2% | GPU Load: 0% | GPU Memory: 0MB
